pixel,picture,element.
pluot,plum,apricot
pomosexual,postmodern,sexual
Pornograffiti,pornography,graffiti
posistor,positive,thermistor
Positron,positive,electron
sexcapade,sex,escapade
sexercise,sex,exercise
sexile,sex,exile
sexploitation,sex,exploitation
shart,shit,fart
simulcast,simultaneous,broadcast
silastic,silicone,plastic
singlish,singaporean,english
slanguage,slang,language
slurve,slider,curve
smaze,smoke,haze
smog,smoke,fog
snark,snide,remark
Shlam,slam,ham
spanglish,Spanish,English
spork,spoon,fork
sportscast,sports,broadcast
squircle,square,circle
stagflation,stagnation,inflation
starchitect,star,architect
strunk,stoned,drunk
Swisslish,Swiss,English
tactleneck,tactical,turtleneck
tangelo,tangerine,pomelo
tardass,retard,dumbass
televangelist,television,evangelist
taardvark,retard,aardvark
tofurkey,tofu,turkey
toonie,two,loonie,
transceiver,transmitter,receiver
transponder,transmitter,responder
trill,true,real
triticale,triticum,secale
twincest,twin,incest
ubertastic,uber,fantastic
webzine,web,magazine
Yogalates,yoga,pilates
alphanumeric,alphabetic,numeric
animatronics,animation,electronics
anadig,analog,digital as in watches
ARPAnet,ARPA,network
avionics,aviation,electronics
bit,binary,digit
Blog,web,log
brouter,bridge,router
codec,coder,decoder
cyborg,cybernetics,organism
datacasting,data,broadcasting
dataveillance,data,surveillance
desknote,desktop,notebook
digicam,digital,camera
digerati,digital,literati
digipeater,digital,repeater
emoticon,emotion,icon
email,electronic,mail
ezine,electronic,magazine
Fembot,female,robot
Feminoid,female,android
IntelliCentre,intelligent,centre
Kripkenstein,Kripke,Wittgenstein
lapdesk,laptop,desktop
malware,malicious,software
mattergy,matter,energy
modem,modulator,demodulator
pixel,picture,element
podcasting,iPod,broadcasting
privoxy,private,proxy
qubit,quantum,bit
ringxiety,ring,anxiety
satisficing,satisfactory,sufficing
smudgemate,smudge,estimate
spambot,spam,robot
spamdexing,spam,indexing
spamtard,spam,retard
sporgery,spam,forgery
sysop,system,operator
telecast,television,broadcast
telematics,telecommunications,informatics
texel,texture,element
thermistor,thermal,resistor
transceiver,transmitter,receiver
transistor,transfer,resistor
voxel,volumetric,pixel
warfarin,WARF,coumarin
webcam,World Wide Web,camera
Wikiquette,Wikipedia,etiquette
parsec,parallax,second
positron,positive,electron
prion,proteinaceous,infectious
advertainment,advertising,entertainment
advertorial,advertising,editorial
brandwagon,brand,wagon
Comcastic,Comcast,fantastic
docudrama,documentary,drama
documercial,documentary,commercial
edutainment,education,entertainment
fraudience,fraud,audience
infomercial,information,commercial
infotainment,information,entertainment
Limon,lime,lemon
mockumentary,mock,documentary
Inscape,interior,landscape
Bollywood,Bombay,Hollywood
Crooklyn,crook,Brooklyn
Clintwood,Clinton,Eastwood
dubtitle,dub,subtitle
Kollywood,Kodambakkam,Hollywood
mockumentary,mock,documentary
Pallywood,Palestinian,Hollywood
rockumentary,rock,documentary
Wonkavator,Wonka,elevator
dancersize,dance,circumsize
Docusoap,documentary,soap
manssiere,man,brassier
newrun,new,rerun
Policenauts,police,astronaut
tomacco,tomato,tobacco
Wikiality,wiki,reality
Yugopotamia,Yugoslavia,Mesopotamia
Naco,nacho,taco
opinuendo,opinion,innuendo
Seussical,Seuss,musical
Spamalot,Camelot,Spam
airpain,airplane,pain
famiclone,family,clone
machinima,machine,cinema
Darkane,Dark,Arcane
Instrumedley,instrumental,medley
caninja,canine,ninja
minja,midget,ninja
ninjelephant,ninja,elephant
Baseketball,basketball,baseball
heliskiing,helicopter,skiing
parasailing,parachute,sailing
joggling,jogging,juggling
streetball,street,basketball
slurve,slider,curve
Amway,American,way
Aricent,Arise,ascent.
Billex,Bill,Alex
Boxster,boxer engine,roadster
Caltrain,California,train
Carborundum,carbon,corundum
Conrail,Consolidated,rail
Froogle,frugal,Google
Fruitopia,fruit,Utopia
Frusion,fruit,fusion
Hairagami,hair,origami
Intel,integrated,electronics
Interpol,international,police
Jazzercise,jazz,exercise
Microsoft,microcomputer,software
pizzone,pizza,calzone
SpectrAlert,Spectral,Alert
Squand,sand,aqua
Verizon,veritas,horizon
Vermonster,Vermont,monster
Wikipedia,wiki,encyclopedia
cama,camel,llama
zorse,zebra,horse
pekeapoo,Pekingese,poodle
schnoodle,schnauzer,poodle
sqrat,squirrel,rat
tigon,tiger,lion
wholphin,whale,dolphin
zeedonk,zebra,donkey
zonkey,zebra,donkey
zony,zebra,pony
voluntown,volunteer,town
