beefalo, beef, buffalo
punny, pun, funny
radome, radar, dome
Reaganomics, Ronald Reagan, economics
Rogernomics, Roger Douglas, economics
Ruthanasia, Ruth Richardson, euthanasia
satisficing, satisfy, suffice
sexercise, sex, exercise
sexpert, sex, expert
sexploitation, sex, exploitation
sexting, sex, texting
shart, shit, fart
shemale, she, male
simulcasting, simultaneous, broadcasting
skitching, skating, hitching
skort, skirt, short
skyjack, sky, hijack
slanguage, slang, language
smog, smoke, fog
snark, snide, remark
snatiation, sneeze, satiation
snice, snow, ice
snowmageddon, snow, armageddon
spange, spare, change
Spanglish, Spanish, English
stagflation, stagnation, inflation
statite, static, satellite
staycation, stay, vacation
swapportunity, swap, opportunity
swaption, swap, option
Taglish, Tagalog, English
taxicab, taximeter, cabriolet
terrist, Terra, terrorist
Thanksgivukkah, Thanksgiving, Hanukkah
thermistor, thermal, resistor
threepeat, three, repeat
toonie, two, loonie
transceiver, transmitter, receiver
transistor, transfer, resistor
transponder, transmitter, responder
urinalysis, urine, analysis
utilidor, utilities, cooridor
valleyspeak, Valley, speaker
vitamer, vitamin, isomer
vomitrocious, vomit, atrocious
workaholic, work, alcoholic
wuss, wimp, pussy
Zupta, Jacob Zuma, Gupta
abend, abnormal, end
alphanumeric, alphabetic, numeric
ASCIIbetical, ASCII, alphabetical
balun, balanced, unbalanced
bit, binary, digit
blog, web, log
brogrammer, brother, programmer
codec, coder, decoder
companding, compressing, expanding
Darwine, Darwin, WINE
datacasting, data, broadcasting
digerati, digital, literati
email, electronic, mail
emoticon, emotion, icon
favicon, favourite, icon
frecency, frequency, recency
freeware, free, software
Hackintosh, hack, Macintosh
hacktivism, hack, activism
Intellivision, intelligent, television
Jython, Java, Python
knowledgebase, knowledge, database
Linux, Linus, Unix
listicle, list, article
malware, malicious, software
memex, memory, index
modem, modulator, demodulator
mozilla, mosaic killer, godzilla
mutex, mutual, exclusion
nanotech, nano, technology
netiquette, Internet, etiquette
wikiquette, wiki, etiquette
netizen, Internet, citizen
phablet, phone, tablet
pixel, picture, element
podcast, iPod, broadcast
qubit, quantum, bit
screenshot, screen, snapshot
SerDes, serialize, deserialize
shareware, share, software
skype, Sky, peer-to-peer
spamdexing, spam, indexing
sporgery, spam, forgery
sysadmin, system, administrator
sysop, system, operator
treap, tree, heap
vlog, video, blog
voxel, volume, pixel
webcast, World Wide Web, broadcast
webinar, World Wide Web, seminar
webisode, World Wide Web, episode
Wintel, Windows, Intel
advertainment, advertising, entertainment
advertorial, advertising, editorial
biopic, biographical, motion picture
cineplex, cinema, complex
confusopoly, confusion, monopoly
docudrama, documentary, drama
docusoap, documentary, soap opera
dramedy, drama, comedy
edutainment, education, entertainment
infomercial, information, commercial
infotainment, information, entertainment
multiplex, multiple, complex
shockumentary, documentary, shock
telemarketing, telephone, marketing
Accenture, accent, future
Alstom, Alsace, Thompson-Houston
Amtrak, American, track
Bakerloo line, Baker Street, Waterloo Railway
CAPCOM, capsule, communicator
Carborundum, carbon, corundum
Citibank, city, bank
Citigroup, city, group
Comcast, communication, broadcast
Compaq, compatibility, quality
ConDem, Conservative, Democrats
Copa, compania, Panamena
Creamsicle, cream, popsicle
Debian, Ian Murdock, Debra
Edexcel, educational, excellence
FedEx, Federal, Express
Fluidrive, fluid, drive
Fudgsicle, fudge, popsicle
Funimation, fun, animation
Garmin, Gary Burrell, Min Kao
Groupon, group, coupon
Imagineering, Imagine, Engineering
Intel, integrated, electronics
Kinect, kinetic, connection
Kmart, S. S. Kresge,  mart
LATAM, Lan Airlines, TAM Airlines
Mattel, Harold "Matt" Matson, Elliot Handler
Medi-Cal, medical, California
Medicaid, medical, aid
Medicare, medical, care
Microsoft, microcomputer, software
Mitel,  Michael Cowpland, Terry Matthews
Pinterest, pin, interest
Poo-Pourri, poo, potpourri
Prancercise, prance, exercise
Prevacid, prevent, acid
Sony, sonus, sonny
Toonami, cartoon, tsunami
Toshiba, Shibaura Seisaku-sho, Tokyo Denki
Travelocity, travel, velocity
Triscuit, triple, biscuit
Ultrabook, ultraportable, notebook
Verizon, veritas, horizon
Victorinox, Victoria, inox
Waitrose, Wallace Waite, Arthur Rose
Walmart, Sam Walton, mart
Wikipedia, wiki, encyclopedia
WinCo, Winning, Company
Yosicle, yogurt, popsicle
Autopia, automobile, utopia
Ballico, Ballintine, Company
Birome, Bickham, James Cartwright
BosWash, Boston, Washington D.C.
Calexico, California, Mexico
Calistoga, California, Saratoga
Canwood, Canadian, woodlands
Chiberia, Chicago, Siberia
Clerval, claire, vallée
Cotai, Coloane, Taipa
Czechoslovakia, Czech, Slovakia
Delran Township, Delaware River, Rancocas Creek
Donora, William Donner, Nora Mellon
Eurasia, Europe, Asia
Fairborn, Fairfield, Osborn
Glenbard, Glen Ellyn, Lombard
Harvey Cedars, harvest, cedars
Hillcrest, Hills, Hazel Crest
Illiana, Illinois, Indiana
Indialantic, Indian, Atlantic
Irrigon, irrigation, Oregon
Jardee, Jardanup, Deeside
Kanwaka, Kanwaka, Wakarusa 
Kormak, Charles Korpela, Oscar Maki
Mexicali, Mexico, California
Michiana, Michigan, Indiana
Millux, Miller, Lux
MoCo, Montgomery County, Maryland
Monterey, monte, rey
Navelencia, navel, Valencia
NOVA, Northern, Virginia
NYLON, New York, London
Sauk Prairie, Sauk City, Prairie du Sac
Scarberia, Scarborough, Siberia
SeaTac, Seattle, Tacoma
Tamiami, Tampa, Miami
Tanzania, Tanganyika, Zanzibar
The Tridge, Tri-Cities, bridge
Valsetz, Valley, Siletz Railroad
WaKeeney, Warren, Keeney
Westarctica, West, Antarctica
botox, botulism, toxin
chemokine, chemotactic, cytokine
cyborg, cybernetic, organism
endorphin, endogenous, morphine
ethanol, ethyl, alcohol
glymphatic, glial, lymphatic
hazmat, hazardous, material
methanol, methyl, alcohol
Pellistor, pellet, resistor
positron, positive, electron
redox, reduction, oxidation
stiction, static, friction
vitamin, vital, amine
wavicle, wave, particle
